# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
lexer.SVG.time.ns,1785878144870000000,1785878204883000000,953046
writeAction.count,1785878144870000000,1785878204883000000,39
lexer.CSS.size.bytes,1785878144870000000,1785878204883000000,141903
DiskQueryRelay.tasksExecuted,1785878144870000000,1785878204883000000,58795
lexer.CSS.time.ns,1785878144870000000,1785878204883000000,44076863
parser.CSS.size.bytes,1785878144870000000,1785878204883000000,141903
parser.RELAX-NG.time.ns,1785878144870000000,1785878204883000000,19153558
lexer.FTree.size.bytes,1785878144870000000,1785878204883000000,232
DiskQueryRelay.tasksRequested,1785878144870000000,1785878204883000000,58796
cacheStateStorage.get.duration,1785878144870000000,1785878204883000000,124
cacheStateStorage.get.counter,1785878144870000000,1785878204883000000,44
cacheStateStorage.set.counter,1785878144870000000,1785878204883000000,9
cacheStateStorage.set.duration,1785878144870000000,1785878204883000000,18
jps.apply.loaded.storage.ms,1785878144870000000,1785878204883000000,10093
workspaceModel.moduleBridge.facet.initialization.ms,1785878144870000000,1785878204883000000,0
workspaceModel.global.updates.count,1785878144870000000,1785878204883000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1785878144870000000,1785878204883000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1785878144870000000,1785878204883000000,0
jps.modifiable.module.model.bridge.renaming.ms,1785878144870000000,1785878204883000000,0
jps.load.initial.state.ms,1785878144870000000,1785878204883000000,10
jps.app.storage.content.writer.save.component.ms,1785878144870000000,1785878204883000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1785878144870000000,1785878204883000000,10109
jps.artifact.entities.serializer.save.entities.ms,1785878144870000000,1785878204883000000,0
workspaceModel.sync.entities.ms,1785878144870000000,1785878204883000000,0
jps.module.iml.entities.serializer.load.entities.ms,1785878144870000000,1785878204883000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1785878144870000000,1785878204883000000,0
jps.reload.project.entities.ms,1785878144870000000,1785878204883000000,0
workspaceModel.do.save.caches.ms,1785878144870000000,1785878204883000000,37
workspaceModel.mutableEntityStorage.resolve.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1785878144870000000,1785878204883000000,4
workspaceModel.moduleBridgeLoader.loading.modules.ms,1785878144870000000,1785878204883000000,321
jps.facet.change.listener.process.change.events.ms,1785878144870000000,1785878204883000000,2
jps.load.project.to.empty.storage.ms,1785878144870000000,1785878204883000000,20
workspaceModel.save.cache.to.file.ms,1785878144870000000,1785878204883000000,35
workspaceModel.mutableEntityStorage.put.entity.ms,1785878144870000000,1785878204883000000,5
jps.library.entities.serializer.save.entities.ms,1785878144870000000,1785878204883000000,0
workspaceModel.global.apply.state.to.project.ms,1785878144870000000,1785878204883000000,36
jps.save.global.entities.ms,1785878144870000000,1785878204883000000,2
jps.artifact.entities.serializer.load.entities.ms,1785878144870000000,1785878204883000000,0
jps.global.handle.before.change.events.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1785878144870000000,1785878204883000000,0
jps.storage.jps.conf.reader.load.component.ms,1785878144870000000,1785878204883000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1785878144870000000,1785878204883000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1785878144870000000,1785878204883000000,0
jps.modifiable.module.model.bridge.load.module.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.entities.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1785878144870000000,1785878204883000000,0
workspaceModel.orphan.listener.update.ms,1785878144870000000,1785878204883000000,2
workspaceModel.global.updates.ms,1785878144870000000,1785878204883000000,11
jps.modifiable.module.model.bridge.disposing.ms,1785878144870000000,1785878204883000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1785878144870000000,1785878204883000000,20
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1785878144870000000,1785878204883000000,1
jps.global.initialize.library.bridges.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1785878144870000000,1785878204883000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1785878144870000000,1785878204883000000,0
jps.save.changed.project.entities.ms,1785878144870000000,1785878204883000000,19
jps.global.get.library.by.name.ms,1785878144870000000,1785878204883000000,0
jps.project.serializers.save.ms,1785878144870000000,1785878204883000000,19
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1785878144870000000,1785878204883000000,1
jps.global.initialize.library.bridges.after.loading.ms,1785878144870000000,1785878204883000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1785878144870000000,1785878204883000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1785878144870000000,1785878204883000000,26
jps.facet.change.listener.init.bridge.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1785878144870000000,1785878204883000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1785878144870000000,1785878204883000000,2
jps.global.get.libraries.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1785878144870000000,1785878204883000000,2
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1785878144870000000,1785878204883000000,13
workspaceModel.moduleBridge.update.option.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1785878144870000000,1785878204883000000,0
jps.project.serializers.load.ms,1785878144870000000,1785878204883000000,4
workspaceModel.load.cache.from.file.ms,1785878144870000000,1785878204883000000,69
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1785878144870000000,1785878204883000000,12
jps.library.entities.serializer.load.entities.ms,1785878144870000000,1785878204883000000,0
workspaceModel.moduleBridge.before.changed.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1785878144870000000,1785878204883000000,1
jps.global.handle.changed.events.ms,1785878144870000000,1785878204883000000,0
jps.modifiable.module.model.bridge.new.module.ms,1785878144870000000,1785878204883000000,9
workspaceModel.mutableEntityStorage.collect.changes.ms,1785878144870000000,1785878204883000000,1
workspaceModel.mutableEntityStorage.instances.count,1785878144870000000,1785878204883000000,79
workspaceModel.load.cache.metadata.from.file.ms,1785878144870000000,1785878204883000000,7
jps.module.iml.entities.serializer.save.entities.ms,1785878144870000000,1785878204883000000,13
jps.global.get.library.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1785878144870000000,1785878204883000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1785878144870000000,1785878204883000000,5
jps.facet.change.listener.before.change.events.ms,1785878144870000000,1785878204883000000,0
jps.app.storage.content.reader.load.component.ms,1785878144870000000,1785878204883000000,0
JVM.threadCount,1785878144870000000,1785878204883000000,158
JVM.totalTimeToSafepointsMs,1785878144870000000,1785878204883000000,19
JVM.newThreadsCount,1785878144870000000,1785878204883000000,189
MEM.ramBytes,1785878144870000000,1785878204883000000,3523137536
JVM.GC.collections,1785878144870000000,1785878204883000000,90
JVM.maxHeapBytes,1785878144870000000,1785878204883000000,2147483648
JVM.committedHeapBytes,1785878144870000000,1785878204883000000,883949568
MEM.ramPlusSwapMinusFileMappingsBytes,1785878144870000000,1785878204883000000,2573791232
MEM.ramMinusFileMappingsBytes,1785878144870000000,1785878204883000000,2573791232
OS.loadAverage,1785878144870000000,1785878204883000000,3.11181640625
JVM.totalSafepointCount,1785878144870000000,1785878204883000000,168
JVM.totalDirectByteBuffersBytes,1785878144870000000,1785878204883000000,629329921
JVM.totalTimeAtSafepointsMs,1785878144870000000,1785878204883000000,347
JVM.totalCpuTimeMs,1785878144870000000,1785878204883000000,100660
JVM.GC.collectionTimesMs,1785878144870000000,1785878204883000000,338
JVM.usedHeapBytes,1785878144870000000,1785878204883000000,796435056
JVM.totalBytesAllocated,1785878144870000000,1785878204883000000,10232806728
JVM.usedNativeBytes,1785878144870000000,1785878204883000000,551084528
JVM.maxThreadCount,1785878144870000000,1785878204883000000,159
MEM.fileMappingsRamBytes,1785878144870000000,1785878204883000000,946483200
VFS.cache.directoriesCreated,1785878144870000000,1785878204883000000,2851
VFS.contentStorage.recordsReadDecompressed,1785878144870000000,1785878204883000000,6
VFS.cache.segments,1785878144870000000,1785878204883000000,94
VFS.folderCaseSensitivityReads,1785878144870000000,1785878204883000000,83
VFS.contentStorage.recordsStoredCompressed,1785878144870000000,1785878204883000000,7
VFS.fileChildByName,1785878144870000000,1785878204883000000,35704
VFS.ContentWriter.totalFlushes,1785878144870000000,1785878204883000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1785878144870000000,1785878204883000000,9886
FileNameCache.totalMisses,1785878144870000000,1785878204883000000,25408
VFS.contentStorage.recordsStored,1785878144870000000,1785878204883000000,20
VFS.fileByIdCache.misses,1785878144870000000,1785878204883000000,326
FileNameCache.queries,1785878144870000000,1785878204883000000,2762240
VFS.cache.filesCreated,1785878144870000000,1785878204883000000,16954
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1785878144870000000,1785878204883000000,11141
VFS.contentStorage.recordsDeduplicated,1785878144870000000,1785878204883000000,4
VFS.ContentWriter.totalTasksExecutedAsync,1785878144870000000,1785878204883000000,2
VFS.contentStorage.recordsStoredSize,1785878144870000000,1785878204883000000,254540
VFS.fileByIdCache.hits,1785878144870000000,1785878204883000000,4
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1785878144870000000,1785878204883000000,0
