# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookups,1785876357514000000,1785876417526000000,0
Indexes.stubs.lookupDurationMaxMs,1785876357514000000,1785876417526000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1785876357514000000,1785876417526000000,0
Indexing.cache.totalCacheMisses,1785876357514000000,1785876417526000000,0
Indexes.stubs.lookupDuration90PMs,1785876357514000000,1785876417526000000,0.0
Indexes.allKeys.lookupDuration90PMs,1785876357514000000,1785876417526000000,0.0
Indexes.entries.lookupDurationAvgMs,1785876357514000000,1785876417526000000,0.0
Indexing.writesQueuedMin,1785876357514000000,1785876417526000000,9223372036854775807
Indexing.writer_3.totalTimeSpentWritingMs,1785876357514000000,1785876417526000000,0
Indexes.entries.lookups,1785876357514000000,1785876417526000000,1
Indexing.cache.totalCacheEvicted,1785876357514000000,1785876417526000000,0
Indexes.stubs.lookups,1785876357514000000,1785876417526000000,0
Indexing.totalTimeIndexersSleptMs,1785876357514000000,1785876417526000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1785876357514000000,1785876417526000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1785876357514000000,1785876417526000000,0
Indexes.entries.lookupDuration90PMs,1785876357514000000,1785876417526000000,0.0
Indexing.cache.totalCacheAccesses,1785876357514000000,1785876417526000000,0
Indexing.writesQueuedMax,1785876357514000000,1785876417526000000,0
Indexes.entries.lookupDurationMaxMs,1785876357514000000,1785876417526000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1785876357514000000,1785876417526000000,0.0
Indexes.stubs.lookupDurationAvgMs,1785876357514000000,1785876417526000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1785876357514000000,1785876417526000000,0.0
VFS.contentStorage.recordsUncompressedSize,1785876357514000000,1785876417526000000,4522
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1785876357514000000,1785876417526000000,0
VFS.cache.filesCreated,1785876357514000000,1785876417526000000,45375
VFS.contentStorage.recordsStored,1785876357514000000,1785876417526000000,4
VFS.cache.directoriesCreated,1785876357514000000,1785876417526000000,2335
VFS.ContentWriter.totalTasksExecutedAsync,1785876357514000000,1785876417526000000,0
VFS.contentStorage.recordsStoredCompressed,1785876357514000000,1785876417526000000,0
VFS.ContentWriter.totalTasksExecutedSync,1785876357514000000,1785876417526000000,0
FileNameCache.queries,1785876357514000000,1785876417526000000,535936
VFS.cache.segmentsCreated,1785876357514000000,1785876417526000000,88
FileNameCache.totalMisses,1785876357514000000,1785876417526000000,64
VFS.cache.segments,1785876357514000000,1785876417526000000,88
VFS.contentStorage.recordsDeduplicated,1785876357514000000,1785876417526000000,0
VFS.ContentWriter.totalFlushes,1785876357514000000,1785876417526000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1785876357514000000,1785876417526000000,0
